Toxin_Cluster, Antitoxin1, Antitoxin2,Count, Category, on_contig, vir, amr, plasmid, avg_contig_length, sd_contig_length
-,80P,-,53,spo_no_assoc,(-;-;-:52) (SulI_Sul;-;-:1) (SHV-OKP-LEN_Bla;-;-:1),,,,99582.6666667,90879.1013523
-,68P,-,12,rare,(-;-;-:12),,,,38870.4166667,40185.6628423
-,89P,-,1,rare,(-;-;-:1),,,,91057.0,0.0
-,20P,-,7,spo_amr_vir_plasmid,(-;-;-:4) (-;terC_1;-:1) (-;terD_2;-:1) (TEM-1D_Bla;pbrA_1;-:1),,Qnr_A_Flq,IncHI2/IncHI2A,33730.0,23004.9533548
-,157P,-,4,rare,(-;-;-:4),,,,39056.75,30608.6355983
-,77P,-,39,lin,(-;-;-:38) (-;silS_4;-:1),mrkJ2/mrkI2/mrkI3/kfuB/kfuA,SHV_OKP_LEN_Bla_2,,94546.5641026,88423.0503806
-,14P,-,59,spo_amr_vir_plasmid,(-;-;-:56) (-;mrkH_16;-:1) (-;silS_4;-:1) (-;iroC_4;-:1),,,IncHI1B,3164.50847458,6754.10855846
-,117P,-,3,rare,(-;-;-:3),,,,47705.0,42520.8421444
-,127P,-,1,rare,(-;-;-:1),,,,205690.0,0.0
-,61P,-,11,rare,(-;-;-:11),,,,74247.8181818,66599.3921796
-,147P,-,2,rare,(-;-;-:2),,,,11410.5,1118.5
-,148P,-,2,rare,(-;-;-:2),,,,90447.5,22838.5
-,206P,-,1,rare,(-;-;-:1),,,,2514.0,0.0
-,7P,-,235,lin,(-;-;-:233) (-;-;IncFIB(K):1) (-;kfuC_9;-:1),mrkJ,,,86711.0978723,76916.6708601
-,201P,-,1,rare,(-;mrkC_66;-:1),,,,675518.0,0.0
-,48P,-,57,spo_amr_vir_plasmid,(-;pcoA_6;IncR:1) (-;pcoA_6;-:1) (-;-;IncFIA(HI1):2) (-;silS_4;-:1) (Qnr-S_Flq;-;-:6) (AadA_AGly;silC_20;IncN:1) (-;-;-:40) (-;mrkH_16;-:1) (CatBx_Phe;-;-:2) (-;-;IncR:2),pcoA/pcoE/pcoC/pcoD/pcoB/pcoR/silE/silC/silS/silR,Aac3_IIa_AGly,,14604.4385965,13049.1929737
-,105P,-,26,spo_amr_vir_plasmid,(-;pbrA_1;-:1) (-;-;IncFIB(K):4) (-;silC_1;-:1) (-;pbrA_4;IncFIB(K):1) (-;pbrA_3;-:1) (-;-;-:13) (-;pbrA_4;-:5),iutA/fyuA/iucA/iucC/iucD/iucB/allA/ybbW/allB/ybbY/allC/allD/allS/allR/rmpA/clbB/clbR/clbO/clbC/clbP/clbK/clbL/clbM/clbG/clbH/clbF/clbN/clbD/clbA/clbQ/clbE/clbI/pcoA/pcoE/pcoS/pcoC/pcoD/pcoB/pcoR/pbrA/pbrR/pbrBC/mceI/mceG/mceJ/mceH/mceD/mceC/mceE/mceA/mceB/iroN/iroD/iroB/iroC/silE/silC/silS/terZ/terD/terE/terW/terB/terA/terC/terX/terY/gcl/fdrA/ylbE/KP1_1364/glxK/arcC/glxR/ylbF/KP1_1371/hyi/ybtQ/ybtP/ybtE/ybtS/ybtX/irp2/ybtU/ybtA/ybtT,,,22892.8076923,17019.0063572
-,181P,-,7,rare,(-;-;-:7),,,,67269.5714286,20205.597816
-,234P,-,1,rare,(-;-;-:1),,,,29790.0,0.0
-,213P,-,1,rare,(-;-;-:1),,,,15592.0,0.0
-,95P,-,42,spo_amr_vir_plasmid,(-;-;-:37) (-;silR_11;-:1) (-;-;IncFIB(K):1) (-;silS_4;-:2) (-;-;IncFIA(HI1):1),,,IncFIB_K_/IncFIB_Mar_,8206.21428571,16388.504555
-,196P,-,2,rare,(-;-;ColRNAI:2),,,,5666.0,1.0
-,4P,-,153,lin,(-;-;-:151) (-;-;IncFIB(K):1) (-;kfuC_9;-:1),mrkJ/mrkI,,,81616.4248366,69070.1098456
-,111P,-,6,lin,(-;iutA_27;-:1) (-;-;-:4) (-;iutA_29;-:1),,,,107198.333333,87795.5891672
-,32P,-,208,lin,(OqxBgb_Flq;irp1_48;-:1) (-;irp2_101;-:1) (-;irp1_34;-:1) (-;irp1_17;-:2) (-;irp1_50;-:1) (OqxBgb_Flq;-;-:2) (-;irp1_1;-:2) (-;irp1_116;-:1) (-;irp2_88;-:1) (-;silS_4;-:2) (-;irp1_36;-:3) (-;irp1_49;-:1) (-;irp1_6;-:1) (OqxBgb_Flq;silS_4;-:1) (-;irp1_35;-:1) (-;irp1_33;-:3) (-;irp1_43;-:1) (-;mceG_2;-:4) (SHV-OKP-LEN_Bla;-;-:2) (-;-;-:172) (-;mrkH_16;-:1) (-;irp1_15;-:1) (-;irp1_37;-:2) (-;irp1_47;-:1),mrkJ,,,177443.932692,186593.467425
-,169P,-,1,rare,(-;-;-:1),,,,31228.0,0.0
-,144P,-,5,rare,(-;-;-:5),,,,29804.6,21130.890569
-,156P,-,1,rare,(-;-;-:1),,,,39921.0,0.0
-,129P,-,1,rare,(-;-;-:1),,,,33656.0,0.0
-,200P,-,2,rare,(-;-;-:2),,,,6203.0,1623.0
-,175P,-,1,rare,(-;-;-:1),,,,25358.0,0.0
-,74P,-,38,spo_no_assoc,(-;-;-:39),,,,53721.6666667,66700.0688772
-,15P,-,258,ubiq,(OqxBgb_Flq;mrkC_40;-:2) (OqxBgb_Flq;mrkC_1;-:1) (-;-;IncFIB(K):1) (OqxBgb_Flq;mrkC_37;-:1) (OqxBgb_Flq;-;-:111) (OqxBgb_Flq;silR_11;-:1) (OqxBgb_Flq;mrkC_38;-:1) (-;silS_4;-:2) (OqxBgb_Flq;silS_4;-:1) (-;-;-:133) (OqxBgb_Flq;mrkC_2;-:1) (OqxBgb_Flq;mrkC_75;-:2) (OqxBgb_Flq;mrkC_53;-:1),,,,81600.7984496,102069.729902
-,88P,-,3,rare,(-;-;-:2) (OqxBgb_Flq;-;-:1),,,,46571.3333333,46442.412149
-,116P,-,2,rare,(-;-;-:2),,,,28715.5,8870.5
-,60P,-,8,spo_amr_vir_plasmid,(-;-;-:8),,AadB_AGly/RmtB_AGly/CmlA_Phe/TetG_Tet/TetRG_Tet/Arr_Rif/Dfr23_Tmt/OXA_7_Bla/VEB_1_Bla,,153835.0,137453.364801
-,53P,-,1,rare,(-;-;-:1),,,,1269.0,0.0
-,189P,-,1,rare,(-;-;-:1),,,,12215.0,0.0
-,243P,-,1,rare,(-;-;-:1),,,,28858.0,0.0
-,55P,-,5,rare,(-;-;-:5),,,,110797.4,108252.95045
-,228P,-,1,rare,(-;-;-:1),,,,1347.0,0.0
-,215P,-,2,rare,(-;-;-:1) (OqxBgb_Flq;-;-:1),,,,109330.5,23928.5
-,23P,-,16,spo_amr_vir_plasmid,(-;-;-:5) (-;-;ColRNAI:11),,,ColRNAI,7410.375,3150.51904206
